"tourney_id","tourney_year","tourney_order","tourney_name","tourney_slug","tourney_location","tourney_dates","tourney_month","tourney_day","tourney_singles_draw","tourney_doubles_draw","tourney_conditions","tourney_surface","tourney_fin_commit","tourney_url_suffix","singles_winner_name","singles_winner_url","singles_winner_player_slug","singles_winner_player_id","doubles_winner_1_name","doubles_winner_1_url","doubles_winner_1_player_slug","doubles_winner_1_player_id","doubles_winner_2_name","doubles_winner_2_url","doubles_winner_2_player_slug","doubles_winner_2_player_id","tourney_year_id","tourney_lat","tourney_long"
410,2017,23,"Rolex Monte-Carlo Masters","monte-carlo","Monte Carlo, Monaco","2017.04.16",4,16,56,56,"Outdoor","Clay","€4,629,725","/en/scores/archive/monte-carlo/410/2017/results","Rafael Nadal","/en/players/rafael-nadal/n409/overview","rafael-nadal","n409","Rohan Bopanna","/en/players/rohan-bopanna/b757/overview","rohan-bopanna","b757","Pablo Cuevas","/en/players/pablo-cuevas/c882/overview","pablo-cuevas","c882","2017-410",43.7400718,7.4266436
414,2017,46,"German Tennis Championships 2017","hamburg","Hamburg, Germany","2017.07.24",7,24,32,32,"Outdoor","Clay","€1,629,375","/en/scores/archive/hamburg/414/2017/results","Leonardo Mayer","/en/players/leonardo-mayer/md56/overview","leonardo-mayer","md56","Ivan Dodig","/en/players/ivan-dodig/d646/overview","ivan-dodig","d646","Mate Pavic","/en/players/mate-pavic/pf00/overview","mate-pavic","pf00","2017-414",53.5510846,9.9936819
416,2017,30,"Internazionali BNL d’Italia","rome","Rome, Italy","2017.05.14",5,14,56,56,"Outdoor","Clay","€4,835,975","/en/scores/archive/rome/416/2017/results","Alexander Zverev","/en/players/alexander-zverev/z355/overview","alexander-zverev","z355","Pierre-Hugues Herbert","/en/players/pierre-hugues-herbert/h996/overview","pierre-hugues-herbert","h996","Nicolas Mahut","/en/players/nicolas-mahut/m873/overview","nicolas-mahut","m873","2017-416",41.9027835,12.4963655
418,2017,49,"Citi Open","washington","Washington, United States","2017.07.31",7,31,48,48,"Outdoor","Hard-Outdoor","$2,002,460","/en/scores/archive/washington/418/2017/results","Alexander Zverev","/en/players/alexander-zverev/z355/overview","alexander-zverev","z355","Henri Kontinen","/en/players/henri-kontinen/ka80/overview","henri-kontinen","ka80","John Peers","/en/players/john-peers/pc96/overview","john-peers","pc96","2017-418",47.7510741,-120.7401385
421,2017,50,"Coupe Rogers","montreal","Montreal, Canada","2017.08.07",8,7,56,56,"Outdoor","Hard-Outdoor","$5,275,595","/en/scores/archive/montreal/421/2017/results","Alexander Zverev","/en/players/alexander-zverev/z355/overview","alexander-zverev","z355","Pierre-Hugues Herbert","/en/players/pierre-hugues-herbert/h996/overview","pierre-hugues-herbert","h996","Nicolas Mahut","/en/players/nicolas-mahut/m873/overview","nicolas-mahut","m873","2017-421",45.5016889,-73.567256
422,2017,51,"Western & Southern Open","cincinnati","Cincinnati, United States","2017.08.13",8,13,56,56,"Outdoor","Hard-Outdoor","$5,627,305","/en/scores/archive/cincinnati/422/2017/results","Grigor Dimitrov","/en/players/grigor-dimitrov/d875/overview","grigor-dimitrov","d875","Pierre-Hugues Herbert","/en/players/pierre-hugues-herbert/h996/overview","pierre-hugues-herbert","h996","Nicolas Mahut","/en/players/nicolas-mahut/m873/overview","nicolas-mahut","m873","2017-422",39.1031182,-84.5120196
425,2017,24,"Barcelona Open Banc Sabadell","barcelona","Barcelona, Spain","2017.04.24",4,24,48,48,"Outdoor","Clay","€2,604,340","/en/scores/archive/barcelona/425/2017/results","Rafael Nadal","/en/players/rafael-nadal/n409/overview","rafael-nadal","n409","Florin Mergea","/en/players/florin-mergea/mb27/overview","florin-mergea","mb27","Aisam-Ul-Haq Qureshi","/en/players/aisam-ul-haq-qureshi/q019/overview","aisam-ul-haq-qureshi","q019","2017-425",41.3850639,2.1734035
429,2017,63,"Intrum Stockholm Open","stockholm","Stockholm, Sweden","2017.10.16",10,16,28,28,"Indoor","Hard-Indoor","€660,375","/en/scores/archive/stockholm/429/2017/results","Juan Martin del Potro","/en/players/juan-martin-del-potro/d683/overview","juan-martin-del-potro","d683","Oliver Marach","/en/players/oliver-marach/m760/overview","oliver-marach","m760","Mate Pavic","/en/players/mate-pavic/pf00/overview","mate-pavic","pf00","2017-429",59.3293235,18.0685808
438,2017,62,"VTB Kremlin Cup","moscow","Moscow, Russia","2017.10.16",10,16,28,28,"Indoor","Hard-Indoor","$823,600","/en/scores/archive/moscow/438/2017/results","Damir Dzumhur","/en/players/damir-dzumhur/d923/overview","damir-dzumhur","d923","Max Mirnyi","/en/players/max-mirnyi/m595/overview","max-mirnyi","m595","Philipp Oswald","/en/players/philipp-oswald/o305/overview","philipp-oswald","o305","2017-438",55.755826,37.6172999
439,2017,43,"Plava Laguna Croatia Open Umag","umag","Umag, Croatia","2017.07.17",7,17,28,28,"Outdoor","Clay","€540,310","/en/scores/archive/umag/439/2017/results","Andrey Rublev","/en/players/andrey-rublev/re44/overview","andrey-rublev","re44","Guillermo Duran","/en/players/guillermo-duran/d787/overview","guillermo-duran","d787","Andres Molteni","/en/players/andres-molteni/me56/overview","andres-molteni","me56","2017-439",45.4372062,13.5257205
440,2017,34,"Ricoh Open","s-hertogenbosch","s-Hertogenbosch, Netherlands","2017.06.12",6,12,28,28,"Outdoor","Grass","€660,375","/en/scores/archive/s-hertogenbosch/440/2017/results","Gilles Muller","/en/players/gilles-muller/ma30/overview","gilles-muller","ma30","Lukasz Kubot","/en/players/lukasz-kubot/k540/overview","lukasz-kubot","k540","Marcelo Melo","/en/players/marcelo-melo/m919/overview","marcelo-melo","m919","2017-440",51.6978162,5.3036748
451,2017,3,"Qatar ExxonMobil Open","doha","Doha, Qatar","2017.01.02",1,2,32,32,"Outdoor","Hard-Outdoor","$1,334,270","/en/scores/archive/doha/451/2017/results","Novak Djokovic","/en/players/novak-djokovic/d643/overview","novak-djokovic","d643","Jeremy Chardy","/en/players/jeremy-chardy/ca12/overview","jeremy-chardy","ca12","Fabrice Martin","/en/players/fabrice-martin/me04/overview","fabrice-martin","me04","2017-451",25.2854473,51.5310398
495,2017,17,"Dubai Duty Free Tennis Championships","dubai","Dubai, United Arab Emirates","2017.02.27",2,27,32,32,"Outdoor","Hard-Outdoor","$2,858,530","/en/scores/archive/dubai/495/2017/results","Andy Murray","/en/players/andy-murray/mc10/overview","andy-murray","mc10","Jean-Julien Rojer","/en/players/jean-julien-rojer/r513/overview","jean-julien-rojer","r513","Horia Tecau","/en/players/horia-tecau/t749/overview","horia-tecau","t749","2017-495",25.2048493,55.2707828
496,2017,14,"Open 13 Marseille","marseille","Marseille, France","2017.02.20",2,20,28,28,"Indoor","Hard-Indoor","€691,850","/en/scores/archive/marseille/496/2017/results","Jo-Wilfried Tsonga","/en/players/jo-wilfried-tsonga/t786/overview","jo-wilfried-tsonga","t786","Julien Benneteau","/en/players/julien-benneteau/b747/overview","julien-benneteau","b747","Nicolas Mahut","/en/players/nicolas-mahut/m873/overview","nicolas-mahut","m873","2017-496",43.296482,5.36978
499,2017,13,"Delray Beach Open","delray-beach","Delray Beach, United States","2017.02.20",2,20,32,32,"Outdoor","Hard-Outdoor","$599,345","/en/scores/archive/delray-beach/499/2017/results","Jack Sock","/en/players/jack-sock/sm25/overview","jack-sock","sm25","Raven Klaasen","/en/players/raven-klaasen/k609/overview","raven-klaasen","k609","Rajeev Ram","/en/players/rajeev-ram/r548/overview","rajeev-ram","r548","2017-499",26.4614625,-80.0728201
500,2017,36,"Gerry Weber Open","halle","Halle, Germany","2017.06.19",6,19,32,32,"Outdoor","Grass","€1,966,095","/en/scores/archive/halle/500/2017/results","Roger Federer","/en/players/roger-federer/f324/overview","roger-federer","f324","Lukasz Kubot","/en/players/lukasz-kubot/k540/overview","lukasz-kubot","k540","Marcelo Melo","/en/players/marcelo-melo/m919/overview","marcelo-melo","m919","2017-500",51.4969802,11.9688029
506,2017,10,"Argentina Open","buenos-aires","Buenos Aires, Argentina","2017.02.13",2,13,28,28,"Outdoor","Clay","$624,340","/en/scores/archive/buenos-aires/506/2017/results","Alexandr Dolgopolov","/en/players/alexandr-dolgopolov/d801/overview","alexandr-dolgopolov","d801","Juan Sebastian Cabal","/en/players/juan-sebastian-cabal/c834/overview","juan-sebastian-cabal","c834","Robert Farah","/en/players/robert-farah/f525/overview","robert-farah","f525","2017-506",-34.6036844,-58.3815591
